Gross Domestic Product,,,,,,,25-Mar-21
Percent change from preceding period,,,,,,,
,,,,,,,
Annual,,,,Quarterly,,,
,,,,  (Seasonally adjusted annual rates),,,
,,,,,,,
,GDP in billions of current dollars,GDP in billions of chained 2012 dollars,,,GDP in billions of current dollars,GDP in billions of chained 2012 dollars,
,,,,,,,
1930,-11.9,-8.5,,1947Q2,4.7,-1.0,
1931,-16.0,-6.4,,1947Q3,6.0,-0.8,
1932,-23.1,-12.9,,1947Q4,17.3,6.4,
1933,-4.0,-1.2,,1948Q1,9.6,6.2,
1934,16.9,10.8,,1948Q2,10.7,6.8,
1935,11.1,8.9,,1948Q3,10.1,2.3,
1936,14.3,12.9,,1948Q4,1.7,0.4,
1937,9.6,5.1,,1949Q1,-7.4,-5.4,
1938,-6.1,-3.3,,1949Q2,-5.2,-1.4,
1939,7.0,8.0,,1949Q3,2.3,4.2,
1940,10.1,8.8,,1949Q4,-3.3,-3.3,
1941,25.7,17.7,,1950Q1,16.0,16.7,
1942,28.3,18.9,,1950Q2,14.3,12.8,
1943,22.4,17.0,,1950Q3,26.8,16.4,
1944,10.5,8.0,,1950Q4,16.2,7.9,
1945,1.6,-1.0,,1951Q1,21.6,5.5,
1946,-0.2,-11.6,,1951Q2,10.0,7.1,
1947,9.7,-1.1,,1951Q3,8.8,8.5,
1948,10.0,4.1,,1951Q4,5.6,0.9,
1949,-0.7,-0.6,,1952Q1,4.2,4.3,
1950,10.0,8.7,,1952Q2,1.4,0.9,
1951,15.7,8.0,,1952Q3,7.6,2.9,
1952,5.9,4.1,,1952Q4,15.0,13.8,
1953,6.0,4.7,,1953Q1,7.7,7.6,
1954,0.3,-0.6,,1953Q2,3.9,3.1,
1955,8.9,7.1,,1953Q3,-0.6,-2.2,
1956,5.6,2.1,,1953Q4,-5.2,-5.9,
1957,5.5,2.1,,1954Q1,-0.6,-1.9,
1958,1.5,-0.7,,1954Q2,0.8,0.4,
1959,8.4,6.9,,1954Q3,5.1,4.6,
1960,4.0,2.6,,1954Q4,9.2,8.1,
1961,3.7,2.6,,1955Q1,14.0,11.9,
1962,7.4,6.1,,1955Q2,8.4,6.7,
1963,5.6,4.4,,1955Q3,8.5,5.5,
1964,7.4,5.8,,1955Q4,6.5,2.4,
1965,8.4,6.5,,1956Q1,2.5,-1.5,
1966,9.6,6.6,,1956Q2,5.8,3.3,
1967,5.7,2.7,,1956Q3,4.7,-0.4,
1968,9.4,4.9,,1956Q4,8.5,6.7,
1969,8.2,3.1,,1957Q1,8.3,2.6,
1970,5.5,0.2,,1957Q2,1.9,-0.9,
1971,8.5,3.3,,1957Q3,6.5,4.0,
1972,9.8,5.3,,1957Q4,-3.8,-4.1,
1973,11.4,5.6,,1958Q1,-6.0,-10.0,
1974,8.4,-0.5,,1958Q2,3.9,2.7,
1975,9.0,-0.2,,1958Q3,12.3,9.6,
1976,11.2,5.4,,1958Q4,11.8,9.7,
1977,11.1,4.6,,1959Q1,8.9,7.9,
1978,13.0,5.5,,1959Q2,10.0,9.3,
1979,11.7,3.2,,1959Q3,1.8,0.3,
1980,8.8,-0.3,,1959Q4,2.7,1.1,
1981,12.2,2.5,,1960Q1,11.1,9.3,
1982,4.3,-1.8,,1960Q2,-1.2,-2.1,
1983,8.7,4.6,,1960Q3,3.4,2.0,
1984,11.1,7.2,,1960Q4,-3.9,-5.0,
1985,7.5,4.2,,1961Q1,3.6,2.7,
1986,5.5,3.5,,1961Q2,8.0,7.0,
1987,6.0,3.5,,1961Q3,9.0,7.9,
1988,7.9,4.2,,1961Q4,9.4,8.1,
1989,7.7,3.7,,1962Q1,9.6,7.3,
1990,5.7,1.9,,1962Q2,4.3,3.7,
1991,3.3,-0.1,,1962Q3,5.9,5.0,
1992,5.9,3.5,,1962Q4,2.2,1.3,
1993,5.2,2.8,,1963Q1,6.3,4.4,
1994,6.3,4.0,,1963Q2,5.3,4.6,
1995,4.8,2.7,,1963Q3,9.7,9.1,
1996,5.7,3.8,,1963Q4,6.0,2.6,
1997,6.2,4.4,,1964Q1,10.1,8.7,
1998,5.7,4.5,,1964Q2,5.4,4.4,
1999,6.3,4.8,,1964Q3,8.1,6.4,
2000,6.5,4.1,,1964Q4,3.1,1.2,
2001,3.2,1.0,,1965Q1,12.3,10.0,
2002,3.4,1.7,,1965Q2,7.1,5.1,
2003,4.8,2.9,,1965Q3,10.9,9.2,
2004,6.6,3.8,,1965Q4,12.6,9.5,
2005,6.7,3.5,,1966Q1,13.0,10.1,
2006,6.0,2.9,,1966Q2,4.7,1.4,
2007,4.6,1.9,,1966Q3,7.5,3.4,
2008,1.8,-0.1,,1966Q4,6.8,3.3,
2009,-1.8,-2.5,,1967Q1,5.3,3.6,
2010,3.8,2.6,,1967Q2,2.3,0.2,
2011,3.7,1.6,,1967Q3,7.9,3.8,
2012,4.2,2.2,,1967Q4,7.7,3.0,
2013,3.6,1.8,,1968Q1,13.3,8.4,
2014,4.4,2.5,,1968Q2,11.4,6.9,
2015,4.1,3.1,,1968Q3,7.2,3.1,
2016,2.8,1.7,,1968Q4,7.4,1.6,
2017,4.3,2.3,,1969Q1,10.9,6.4,
2018,5.5,3.0,,1969Q2,6.5,1.2,
2019,4.0,2.2,,1969Q3,8.6,2.7,
2020,-2.3,-3.5,,1969Q4,3.2,-1.9,
,,,,1970Q1,5.1,-0.6,
,,,,1970Q2,6.3,0.6,
,,,,1970Q3,7.2,3.7,
,,,,1970Q4,0.9,-4.2,
,,,,1971Q1,18.2,11.3,
,,,,1971Q2,7.7,2.2,
,,,,1971Q3,7.6,3.3,
,,,,1971Q4,4.4,0.9,
,,,,1972Q1,14.3,7.6,
,,,,1972Q2,12.1,9.4,
,,,,1972Q3,7.9,3.8,
,,,,1972Q4,12.4,6.9,
,,,,1973Q1,15.4,10.3,
,,,,1973Q2,11.0,4.4,
,,,,1973Q3,5.8,-2.1,
,,,,1973Q4,12.4,3.8,
,,,,1974Q1,4.1,-3.4,
,,,,1974Q2,10.8,1.0,
,,,,1974Q3,8.1,-3.7,
,,,,1974Q4,10.6,-1.5,
,,,,1975Q1,4.2,-4.8,
,,,,1975Q2,9.1,2.9,
,,,,1975Q3,14.8,7.0,
,,,,1975Q4,12.7,5.5,
,,,,1976Q1,14.0,9.3,
,,,,1976Q2,7.2,3.0,
,,,,1976Q3,7.6,2.2,
,,,,1976Q4,10.5,2.9,
,,,,1977Q1,11.7,4.8,
,,,,1977Q2,14.2,8.0,
,,,,1977Q3,12.7,7.4,
,,,,1977Q4,8.9,0.0,
,,,,1978Q1,7.3,1.3,
,,,,1978Q2,25.5,16.4,
,,,,1978Q3,11.3,4.1,
,,,,1978Q4,14.4,5.5,
,,,,1979Q1,8.3,0.7,
,,,,1979Q2,10.6,0.4,
,,,,1979Q3,12.3,3.0,
,,,,1979Q4,8.7,1.0,
,,,,1980Q1,10.0,1.3,
,,,,1980Q2,1.1,-8.0,
,,,,1980Q3,8.7,-0.5,
,,,,1980Q4,19.3,7.7,
,,,,1981Q1,19.9,8.1,
,,,,1981Q2,5.0,-2.9,
,,,,1981Q3,13.0,4.9,
,,,,1981Q4,2.5,-4.3,
,,,,1982Q1,-0.8,-6.1,
,,,,1982Q2,7.2,1.8,
,,,,1982Q3,4.2,-1.5,
,,,,1982Q4,4.4,0.2,
,,,,1983Q1,8.6,5.4,
,,,,1983Q2,12.7,9.4,
,,,,1983Q3,12.9,8.2,
,,,,1983Q4,11.9,8.6,
,,,,1984Q1,12.5,8.1,
,,,,1984Q2,10.8,7.1,
,,,,1984Q3,7.7,3.9,
,,,,1984Q4,6.4,3.3,
,,,,1985Q1,8.1,3.9,
,,,,1985Q2,6.3,3.6,
,,,,1985Q3,8.8,6.2,
,,,,1985Q4,5.3,3.0,
,,,,1986Q1,5.9,3.8,
,,,,1986Q2,3.4,1.8,
,,,,1986Q3,5.6,3.9,
,,,,1986Q4,4.4,2.2,
,,,,1987Q1,5.7,3.0,
,,,,1987Q2,7.3,4.4,
,,,,1987Q3,6.7,3.5,
,,,,1987Q4,10.5,7.0,
,,,,1988Q1,5.3,2.1,
,,,,1988Q2,9.5,5.4,
,,,,1988Q3,7.3,2.4,
,,,,1988Q4,9.1,5.4,
,,,,1989Q1,8.5,4.1,
,,,,1989Q2,7.6,3.1,
,,,,1989Q3,6.0,3.0,
,,,,1989Q4,3.7,0.8,
,,,,1990Q1,9.0,4.4,
,,,,1990Q2,6.1,1.5,
,,,,1990Q3,3.7,0.3,
,,,,1990Q4,-0.7,-3.6,
,,,,1991Q1,2.0,-1.9,
,,,,1991Q2,6.2,3.2,
,,,,1991Q3,5.3,2.0,
,,,,1991Q4,3.8,1.4,
,,,,1992Q1,6.4,4.9,
,,,,1992Q2,6.9,4.4,
,,,,1992Q3,6.1,4.0,
,,,,1992Q4,7.1,4.2,
,,,,1993Q1,2.9,0.7,
,,,,1993Q2,4.8,2.3,
,,,,1993Q3,4.4,1.9,
,,,,1993Q4,7.9,5.6,
,,,,1994Q1,5.9,3.9,
